,Title,Directed by,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release date,Running time,Language,Budget,Box office,Country,Written by
278,Vice,Brian A. Miller,"['Steven Saxton', 'Randall Emmett', 'George Furla', 'Adam Goldworm']","['Thomas Jane', 'Bruce Willis', 'Ambyr Childers', 'Johnathon Schaech', 'Bryan Greenberg', 'Charlotte Kirk', 'Tyler Olson']",Yaron Levy,Rick Shaine,Hybrid,"['Grindstone Entertainment Group', 'Emmett/Furla/Oasis Films', 'Aperture Entertainment', 'K5 International']",Lionsgate,2015-01-16,96.0,English,,,United States,"['Andre Fabrizio', 'Jeremy Passmore']"
279,Mortdecai,David Koepp,"['Andrew Lazar', 'Johnny Depp', 'Christi Dembrowski', 'Patrick McCormick', 'Gigi Pritzker']","['Johnny Depp', 'Gwyneth Paltrow', 'Ewan McGregor', 'Olivia Munn', 'Jeff Goldblum', 'Paul Bettany']",Florian Hoffmeister,"['Jill Savitt', 'Derek Ambrosi']","['Mark Ronson', 'Geoff Zanelli']","['Lionsgate', 'OddLot Entertainment', 'Infinitum Nihil', 'Mad Chance Productions']",Lionsgate,2015-01-23,107.0,English,79200000.0,47300000.0,United States,
280,Wild Card,Simon West,"['Jason Statham', 'Steve Chasman']","['Jason Statham', 'Michael Angarano', 'Milo Ventimiglia', 'Dominik Garcia-Lorido', 'Anne Heche', 'Sofia Vergara', 'Max Casella', 'Jason Alexander', 'Hope Davis', 'Stanley Tucci']",Shelly Johnson,Padraic McKinley,Dario Marianelli,"['Current Entertainment', 'Quad Films', 'SJ Pictures', 'Sierra / Affinity']",Lionsgate,2015-01-14,92.0,English,30000000.0,6700000.0,United States,
281,Shaun the Sheep Movie,"['Mark Burton', 'Richard Starzak']","['Paul Kewley', 'Julie Lockhart']","['Justin Fletcher', 'John Sparkes', 'Omid Djalili']","['Charles Copping', 'Dave Alex Riddett']",Sim Evan-Jones,Ilan Eshkeri,,StudioCanal,2015-01-24,85.0,English (no dialogue),25000000.0,106200000.0,United Kingdom,"['Mark Burton', 'Richard Starzak']"
282,The Voices,Marjane Satrapi,"['Matthew Rhodes', 'Adi Shankar', 'Roy Lee', 'Spencer Silna']","['Ryan Reynolds', 'Gemma Arterton', 'Anna Kendrick', 'Jacki Weaver']",Maxime Alexandre,Stephanie Roche,Olivier Bernet,"['1984 Private Defense Contractors', 'Babelsberg Studio', 'Mandalay Vision', 'Vertigo Entertainment']","['Lionsgate', 'Ascot Elite', 'Panorama Media']",2014-01-19,104.0,English,11000000.0,2200000.0,,Michael R. Perry
283,The DUFF,Ari Sandel,"['Susan Cartsonis', 'McG', 'Mary Viola']","['Mae Whitman', 'Robbie Amell', 'Bella Thorne', 'Bianca Santos', 'Skyler Samuels', 'Romany Malco', 'Ken Jeong', 'Allison Janney']",David Hennings,Wendy Greene Bricmont,Dominic Lewis,"['Vast Entertainment', 'CBS Films', 'Wonderland Sound and Vision']","['Lionsgate', 'CBS Films']",2015-02-12,101.0,English,8500000.0,43700000.0,United States,
284,Cymbeline,Michael Almereyda,"['Anthony Katagas', 'Michael Benaroya']","['Ethan Hawke', 'Ed Harris', 'Milla Jovovich', 'John Leguizamo', 'Penn Badgley', 'Dakota Johnson', 'Anton Yelchin', 'Peter Gerety', 'Kevin Corrigan', 'Vondie Curtis-Hall', 'James Ransone', 'Bill Pullman', 'Delroy Lindo']",Tim Orr,"['John Scott Cook', 'Barbara Tulliver']","['David Ludwig', 'Bryan Senti']","['Grindstone Entertainment Group', 'Benaroya Pictures']",Lionsgate,2014-09-03,97.0,English,3200000.0,,United States,Michael Almereyda
285,The Divergent Series: Insurgent,Robert Schwentke,"['Douglas Wick', 'Lucy Fisher', 'Pouya Shabazian']","['Shailene Woodley', 'Theo James', 'Octavia Spencer', 'Jai Courtney', 'Ray Stevenson', 'Zoë Kravitz', 'Miles Teller', 'Ansel Elgort', 'Maggie Q', 'Naomi Watts', 'Kate Winslet']",Florian Ballhaus,"['Nancy Richardson', 'Stuart Levy']",Joseph Trapanese,"['Red Wagon Entertainment', 'Summit Entertainment', 'Mandeville Films']",['Lionsgate'],2015-03-11,119.0,English,110000000.0,297300000.0,United States,"['Brian Duffield', 'Akiva Goldsman', 'Mark Bomback']"
286,Nightlight,"['Scott Beck', 'Bryan Woods']","['Michael London', 'Norton Herrick', 'Darren Brandl', 'Janice Williams']","['Shelby Young', 'Chloe Bridges', 'Carter Jenkins', 'Mitch Hewer', 'Taylor Murphy']",Andrew M. Davis,Russell Andrew,,,Lionsgate,2015-03-27,85.0,English,,,United States,
287,Last Knights,Kazuaki Kiriya,Luci Kim,"['Clive Owen', 'Cliff Curtis', 'Aksel Hennie', 'Peyman Moaadi', 'Ayelet Zurer', 'Shohreh Aghdashloo', 'Ahn Sung-ki', 'Morgan Freeman']",Antonio Riestra,Mark Sanger,"['Nicolas Neidhardt', 'Satnam Ramgotra', 'Martin Tillman']","['Grindstone Entertainment Group', 'Luka Productions', 'Czech Anglo Productions']",Lionsgate,2015-04-03,115.0,English,19200000.0,1800000.0,,"['Michael Konyves', 'Dove Sussman']"
288,Child 44,Daniel Espinosa,"['Ridley Scott', 'Michael Schaefer', 'Greg Shapiro']","['Tom Hardy', 'Gary Oldman', 'Noomi Rapace', 'Joel Kinnaman', 'Paddy Considine', 'Jason Clarke', 'Vincent Cassel']",Oliver Wood,"['Pietro Scalia', 'Dylan Tichenor']",Jon Ekstrand,"['Worldview Entertainment', 'Scott Free Productions']","['Summit Entertainment', 'Lionsgate (United States)', 'Entertainment One (United Kingdom)', 'Bontonfilm (Czech Republic)', 'Ro Image 2000 (Romania)']",2015-04-17,137.0,English,50000000.0,13000000.0,,
289,The Age of Adaline,Lee Toland Krieger,"['Sidney Kimmel', 'Gary Lucchesi', 'Tom Rosenberg']","['Blake Lively', 'Michiel Huisman', 'Kathy Baker', 'Harrison Ford', 'Ellen Burstyn']",David Lanzenberg,Melissa Kent,Rob Simonsen,"['Lakeshore Entertainment', 'Sidney Kimmel Entertainment']",Lionsgate,2015-04-24,113.0,English,25000000.0,65700000.0,United States,"['J. Mills Goodloe', 'Salvador Paskowitz']"
290,Absolution,Keoni Waxman,"['Binh Dang', 'Phillip B. Goldfine', 'Timothy Marlowe', 'Agustin', 'Keoni Waxman', 'Benjamin Sacks', 'Stan Wertleib', 'Barry Brooker', 'Marlowe Harvey']","['Steven Seagal', 'Byron Mann', 'Vinnie Jones', 'Josh Barnett', 'Adina Stetcu', 'Massimo Dobrovic']",,Trevor Mirosh,"['Michael Richard', 'Plowman']",,"['Lionsgate Entertainment', 'Grindstone Entertainment Group', 'Anchor Bay Entertainment', 'Daro Film Distribution', 'AMG Entertainment']",2015-05-15,,English,,,,"['Richard Beattie', 'Keoni Waxman']"
291,Survivor,James McTeigue,"['Charles Winkler', 'Irwin Winkler', ""Matt O'Toole"", 'Les Weldon']","['Milla Jovovich', 'Pierce Brosnan', 'Angela Bassett', 'Roger Rees', 'Antonia Thomas', ""James D'Arcy"", 'Frances de la Tour', ""Genevieve O'Reilly"", 'Dylan McDermott', 'Robert Forster']",Danny Ruhlmann,Kate Baird,Ilan Eshkeri,"['Millennium Films', 'Chartoff-Winkler Productions']","['Alchemy', '(United States)', 'Lionsgate', '(United Kingdom)']",2015-05-29,96.0,English,20000000.0,3839100.0,,Philip Shelby
292,Vendetta,Jen and Sylvia Soska,Michael J. Luisi,"['Dean Cain', 'Big Show', 'Michael Eklund']",Mahlon Todd Williams,Richard Nord,The Newton Brothers,,Lionsgate Films,2015-06-12,90.0,English,,,United States,Justin Shady
293,What We Did on Our Holiday,"['Andy Hamilton', 'Guy Jenkin']","['Norman Merry', 'Suzanne Reid', 'Ed Rubin', 'David M Thompson', 'Dan Winch']","['David Tennant', 'Rosamund Pike', 'Billy Connolly']",Martin Hawkins,"['Steve Tempia', 'Mark Williams']",Alex Heffes,"['BBC Films', 'Creative Scotland', 'LipSync Productions', 'Origin Pictures', 'Ingenious']",Lionsgate,2014-09-26,95.0,English,4620000.0,10700000.0,United Kingdom,"['Andy Hamilton', 'Guy Jenkin']"
294,Smosh: The Movie,Alex Winter,"['Brian Robbins', 'Shauna Phelan']","['Ian Hecox', 'Anthony Padilla', 'Jenna Marbles', 'Grace Helbig', 'Harley Morenstein', 'Jillian Nelson', 'Brittany Ross', 'Michael Ian Black']",Joe DeSalvo,Scott Richter,Eric Goldman (credited as The Outfit),"['AwesomenessFilms', 'Defy Media', 'Smosh Productions']","['20th Century Fox Home Entertainment (North America)', 'Netflix (International)']",2015-07-23,84.0,English,1000000.0,,United States,"['Eric Falconer', 'Steve Marmel']"
295,The Vatican Tapes,Mark Neveldine,"['Chris Cowles', 'Gary Lucchesi', 'Chris Morgan', 'Tom Rosenberg']","['Olivia Taylor Dudley', 'Michael Peña', 'Dougray Scott', 'Djimon Hounsou']",Gerardo Mateo Madrazo,Eric Potter,Joseph Bishara,"['H2F Entertainment', 'Lakeshore Entertainment']","['Lionsgate', 'Pantelion Films']",2015-07-24,91.0,,13000000.0,13500000.0,United States,
296,Shaun the Sheep Movie,"['Mark Burton', 'Richard Starzak']","['Paul Kewley', 'Julie Lockhart']","['Justin Fletcher', 'John Sparkes', 'Omid Djalili']","['Charles Copping', 'Dave Alex Riddett']",Sim Evan-Jones,Ilan Eshkeri,,StudioCanal,2015-01-24,85.0,English (no dialogue),25000000.0,106200000.0,United Kingdom,"['Mark Burton', 'Richard Starzak']"
297,Brothers,Karan Malhotra,"['Hiroo Yash Johar', 'Karan Johar', 'Endemol India']","['Akshay Kumar', 'Sidharth Malhotra', 'Jackie Shroff', 'Jacqueline Fernandez']",Hemant Chaturvedi,Akiv Ali,Ajay-Atul,"['Dharma Productions', 'Lionsgate', 'Endemol India']",Fox Star Studios,2015-08-14,155.0,Hindi,,,India,"['Screenplay:', 'Ekta Pathak Malhotra', 'Dialogues:', 'Siddharth-Garima']"
298,American Ultra,Nima Nourizadeh,"['Anthony Bregman', 'Kevin Frakes', 'Raj Brinder Singh', 'David Alpert', 'Britton Rizzio']","['Jesse Eisenberg', 'Kristen Stewart', 'Topher Grace', 'Connie Britton', 'Walton Goggins', 'John Leguizamo', 'Bill Pullman', 'Tony Hale']",Michael Bonvillain,"['Bill Pankow', 'Andrew Marcus']",Marcelo Zarvos,"['The Bridge Finance Company', 'Circle of Confusion', 'Likely Story', 'Merced Media Partners', 'PalmStar Media Capital', 'PalmStar Entertainment', 'Tadmor Entertainment']",Lionsgate,2015-08-21,96.0,English,28000000.0,30300000.0,United States,Max Landis
299,Un gallo con muchos huevos,"['Gabriel Riva Palacio Alatriste', 'Rodolfo Riva Palacio Alatriste']","['Ignacio Casares', 'Gabriel Riva Palacio Alatriste', 'Rodolfo Riva Palacio Alatriste']","['Bruno Bichir', 'Angélica Vale', 'Omar Chaparro', 'Maite Perroni', 'Sergio Sendel', 'Ninel Conde', 'Carlos Espejel', 'Facundo']",,,['Zacarías M. de la Riva'],,Videocine,2015-08-20,98.0,Spanish,5300000.0,26000000.0,Mexico,"['Gabriel Riva Palacio Alatriste', 'Rodolfo Riva Palacio Alatriste']"
300,12 Rounds 3: Lockdown,Stephen Reynolds,Michael J. Luisi,"['Dean Ambrose', 'Roger Cross', 'Daniel Cudmore', 'Lochlyn Munro', 'Ty Olsson', 'Sarah Smyth', 'Rebecca Marshall', 'Toby Levins', 'Bill Dow', 'Sharon Taylor', 'Matthew Harrison']",Mahlon Todd Williams,Sam Bauer,Nathan Whitehead,"['WWE Studios', '(Lockdown Films, Inc.)']",Lionsgate Films,2015-09-11,90.0,English,,,United States,"['Nathan Brooks', 'Bobby Lee Darby']"
301,Sicario,Denis Villeneuve,"['Basil Iwanyk', 'Edward L. McDonnell', 'Molly Smith', 'Thad Luckinbill', 'Trent Luckinbill']","['Emily Blunt', 'Benicio del Toro', 'Josh Brolin']",Roger Deakins,Joe Walker,Jóhann Jóhannsson,"['Black Label Media', 'Thunder Road']",Lionsgate,2015-05-19,121.0,English,30000000.0,84900000.0,United States,Taylor Sheridan
302,Freeheld,Peter Sollett,"['Elliot Page', 'Michael Shamberg', 'Stacey Sher', 'James D. Stern', 'Cynthia Wade']","['Julianne Moore', 'Elliot Page', 'Michael Shannon', 'Steve Carell']",Maryse Alberti,Andrew Mondshein,"['Hans Zimmer', 'Johnny Marr']","['Summit Entertainment', 'Bankside Films', 'Endgame Entertainment', 'Head Gear Films', 'High Frequency Entertainment', 'Double Feature Films']",Lionsgate,2015-09-13,103.0,English,7000000.0,1700000.0,United States,
303,The Last Witch Hunter,Breck Eisner,"['Mark Canton', 'Vin Diesel', 'Bernie Goldman']","['Vin Diesel', 'Elijah Wood', 'Rose Leslie', 'Julie Engelbrecht', 'Michael Caine']",Dean Semler,"['Dean Zimmerman', 'Chris Lebenzon']",Steve Jablonsky,"['Summit Entertainment', 'Mark Canton Productions', 'One Race Films', 'Goldmann Pictures']",Lionsgate,2015-10-13,106.0,English,71000000.0,146900000.0,United States,"['Cory Goodman', 'Matt Sazama', 'Burk Sharpless']"
304,Heist,Scott Mann,"['Randall Emmett', 'George Furla', 'Wayne Marc Godfrey', 'Alexander Tabrizi', 'Stephen Cyrus Sepher']","['Robert De Niro', 'Jeffrey Dean Morgan', 'Kate Bosworth', 'Morris Chestnut', 'Dave Bautista', 'Gina Carano', 'Mark-Paul Gosselaar', 'D.B. Sweeney', 'Stephen Cyrus Sepher', 'Tyson Sullivan']",Brandon Cox,Robert Dalva,"['James Edward Barker', 'Tim Despic']","['Grindstone Entertainment Group', 'Emmett/Furla/Oasis Films', 'The Fyzz Facility', 'Mass Hysteria Entertainment Co']",Lionsgate Premiere,2015-11-13,93.0,English,15000000.0,4099999.9999999995,United States,"['Stephen Cyrus Sepher', 'Max Adams']"
305,Love the Coopers,Jessie Nelson,"['Michael London', 'Jessie Nelson', 'Janice Williams']","['Alan Arkin', 'John Goodman', 'Ed Helms', 'Diane Keaton', 'Jake Lacy', 'Anthony Mackie', 'Amanda Seyfried', 'June Squibb', 'Marisa Tomei', 'Timothée Chalamet', 'Steve Martin', 'Olivia Wilde']",Elliot Davis,Nancy Richardson,Nick Urata,"['Groundswell Productions', 'Imagine Entertainment']","['Lionsgate', 'CBS Films']",2015-11-04,107.0,English,17000000.0,42400000.0,United States,Steven Rogers
306,The Hunger Games: Mockingjay – Part 2,Francis Lawrence,"['Nina Jacobson', 'Jon Kilik']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Julianne Moore', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Stanley Tucci', 'Donald Sutherland']",Jo Willems,"['Alan Edward Bell', 'Mark Yoshikawa']",James Newton Howard,"['Lionsgate', 'Color Force', 'Studio Babelsberg']",Lionsgate,2015-11-04,137.0,English,160000000.0,658300000.0,United States,
307,Brooklyn,John Crowley,"['Amanda Posey', 'Finola Dwyer']","['Saoirse Ronan', 'Domhnall Gleeson', 'Emory Cohen', 'Jim Broadbent', 'Julie Walters']",Yves Bélanger,Jake Roberts,Michael Brook,"['BBC Films', 'Telefilm Canada', 'Irish Film Board', 'SODEC', 'BFI', 'Wildgaze Films', 'Finola Dwyer Productions', 'Parallel Films', 'Item 7', 'Ingenious', 'BAI', 'RTÉ', 'HanWay Films']","['Lionsgate (United Kingdom and Ireland)', 'Mongrel Media (Canada)']",2015-01-26,112.0,English,11000000.0,62100000.0,,
308,Point Break,Ericson Core,"['Andrew A. Kosove', 'Broderick Johnson', 'John Baldecchi', 'David Valdes', 'Christopher Taylor', 'Kurt Wimmer']","['Édgar Ramírez', 'Luke Bracey', 'Teresa Palmer', 'Delroy Lindo', 'Ray Winstone']",Ericson Core,"['Thom Noble', 'Gerald B. Greenberg', 'John Duffy']",Tom Holkenborg,"['Alcon Entertainment', 'Taylor-Baldecchi-Wimmer Productions', 'DMG Entertainment', 'Studio Babelsberg']","['Warner Bros. Pictures (North America, United Kingdom, Japan, Russia and Ukraine)', 'Concorde Filmverleih (Germany)', 'Summit Entertainment (International; through Lionsgate )']",2015-12-01,114.0,English,105000000.0,133699999.99999999,,
309,Norm of the North,Trevor Wall,"['Nicolas Atlan', 'Ken Katsumoto', 'Steve Rosen', 'Liz Young', 'Mike Young']","['Rob Schneider', 'Heather Graham', 'Ken Jeong', 'Colm Meaney', 'Loretta Devine', 'Gabriel Iglesias', 'Michael McElhatton', 'Bill Nighy']",,Richard Finn,Stephen McKeon,"['Assemblage Entertainment', 'Splash Entertainment', 'Telegael']",Lionsgate,2016-01-15,88.0,English,18000000.0,30500000.0,,"['Daniel R. Altiere', 'Steven M. Altiere', 'Malcolm T. Goldman']"
310,Dirty Grandpa,Dan Mazer,"['Barry Josephson', 'Bill Block', 'Michael Simkin', 'Jason Barrett']","['Robert De Niro', 'Zac Efron', 'Aubrey Plaza', 'Zoey Deutch', 'Julianne Hough', 'Dermot Mulroney']",Eric Alan Edwards,Anne McCabe,Michael Andrews,"['BillBlock Media', 'Josephson Entertainment', 'QED International']",Lionsgate,2016-01-22,102.0,English,11500000.0,105200000.0,United States,John M. Phillips
311,The Choice,Ross Katz,"['Nicholas Sparks', 'Peter Safran', 'Theresa Park']","['Benjamin Walker', 'Teresa Palmer', 'Maggie Grace', 'Alexandra Daddario', 'Tom Welling', 'Tom Wilkinson']",Alar Kivilo,"['Joe Klotz', 'Lucy Donaldson']",Marcelo Zarvos,"['Nicholas Sparks Productions', 'The Safran Company']",Lionsgate,2016-02-05,111.0,English,10000000.0,23400000.0,United States,
312,Gods of Egypt,Alex Proyas,"['Basil Iwanyk', 'Alex Proyas']","['Nikolaj Coster-Waldau', 'Brenton Thwaites', 'Chadwick Boseman', 'Élodie Yung', 'Courtney Eaton', 'Rufus Sewell', 'Gerard Butler', 'Geoffrey Rush']",Peter Menzies Jr.,Richard Learoyd,Marco Beltrami,"['Thunder Road Pictures', 'Mystery Clock Cinema']","['Summit Entertainment', '(United States; through', 'Lionsgate', ')', 'Entertainment One', '(Australia, New Zealand and United Kingdom)']",2016-02-25,127.0,English,140000000.0,150700000.0,,"['Matt Sazama', 'Burk Sharpless']"
313,The Perfect Match,Bille Woodruff,"['Yanelley Arty', 'Alex Avant', 'Johnson Chan', 'Shakim Compere', 'Douglas Shaffer']","['Terrence J', 'Cassie Ventura', 'Donald Faison', 'Dascha Polanco', 'Robert Christopher Riley', 'Lauren London', 'Joe Pantoliano', 'Paula Patton']",Tommy Maddox-Upshaw,Michael Jablow,Kurt Farquhar,"['CodeBlack Films', 'Jorva Entertainment Productions', 'Flavor Unit Entertainment']",Lionsgate,2016-03-07,96.0,English,5000000.0,10400000.0,United States,"['Brandon Broussard', 'Gary Hardwick', 'Dana Verde']"
314,The Divergent Series: Allegiant,Robert Schwentke,"['Lucy Fisher', 'Pouya Shahbazian', 'Douglas Wick']","['Shailene Woodley', 'Theo James', 'Jeff Daniels', 'Miles Teller', 'Ansel Elgort', 'Zoë Kravitz', 'Maggie Q', 'Ray Stevenson', 'Bill Skarsgård', 'Octavia Spencer', 'Naomi Watts']",Florian Ballhaus,Stuart Levy,Joseph Trapanese,"['Summit Entertainment', 'Red Wagon Entertainment', 'Mandeville Films']",Lionsgate,2016-03-08,121.0,English,110000000.0,179200000.0,United States,
315,Eddie the Eagle,Dexter Fletcher,"['Adam Bohling', 'David Reid', 'Rupert Maconick', 'Valerie Van Galder', 'Matthew Vaughn']","['Taron Egerton', 'Hugh Jackman', 'Christopher Walken', 'Iris Berben', 'Jim Broadbent']",George Richmond,Martin Walsh,Matthew Margeson,"['Marv Films', 'Studio Babelsberg', 'Saville Productions', 'TSG Entertainment']","['20th Century Fox (International)', 'Lionsgate (United Kingdom and Ireland)']",2015-12-12,106.0,English,23000000.0,46200000.0,,
316,Criminal,Ariel Vromen,"['J. C. Spink', 'Jake Weiner', 'Mark Gill', ""Matt O'Toole"", 'Christa Campbell']","['Kevin Costner', 'Gary Oldman', 'Tommy Lee Jones', 'Alice Eve', 'Gal Gadot', 'Michael Pitt', 'Jordi Mollà', 'Antje Traue', 'Scott Adkins', 'Ryan Reynolds', 'Amaury Nolasco']",Dana Gonzales,Danny Rafic,"['Brian Tyler', 'Keith Power']","['Summit Entertainment', 'Millennium Films', 'BenderSpink', 'Campbell-Grobman Films']",Lionsgate,2016-04-05,113.0,English,31500000.0,38800000.0,United States,"['Douglas Cook', 'David Weisberg']"
317,A Hologram for the King,Tom Tykwer,"['Stefan Arndt', 'Gary Goetzman', 'Arcadiy Golubovich', 'Tom Hanks', 'Uwe Schott', ""Tim O'Hair""]","['Tom Hanks', 'Alexander Black', 'Sarita Choudhury', 'Sidse Babett Knudsen', 'Ben Whishaw', 'Tom Skerritt']",Frank Griebe,Alexander Berner,"['Johnny Klimek', 'Tom Tykwer']","['Playtone', 'X-Filme Creative Pool', 'Primeridian Entertainment', 'Silver Reel']","['Lionsgate', 'Roadside Attractions', 'Saban Films (United States)', 'X-Verleih (Germany)', 'Cinépolis Distribución (Mexico)']",2016-04-20,97.0,English,35000000.0,11800000.0,,
318,Now You See Me 2,Jon M. Chu,"['Alex Kurtzman', 'Roberto Orci', 'Bobby Cohen']","['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson', 'Dave Franco', 'Daniel Radcliffe', 'Lizzy Caplan', 'Jay Chou', 'Sanaa Lathan', 'Michael Caine', 'Morgan Freeman']",Peter Deming,Stan Salfas,Brian Tyler,"['Summit Entertainment', 'TIK Films', 'K/O Paper Products']",Lionsgate,2016-06-06,129.0,English,90000000.0,334900000.0,United States,
319,Genius,Michael Grandage,"['James Bierman', 'Michael Grandage', 'John Logan', 'Tracey Seaward']","['Colin Firth', 'Jude Law', 'Nicole Kidman', 'Laura Linney', 'Guy Pearce', 'Dominic West']",Ben Davis,Chris Dickens,Adam Cork,"['Riverstone Pictures', 'Pinewood Pictures', 'FilmNation Entertainment', 'Ingenious Media', 'Desert Wolf Productions', 'Michael Grandage Company']","['Summit Entertainment', 'Roadside Attractions']",2016-02-16,104.0,English,17000000.0,5700000.0,,
320,Nerve,"['Henry Joost', 'Ariel Schulman']","['Allison Shearmur', 'Anthony Katagas']","['Emma Roberts', 'Dave Franco', 'Juliette Lewis', 'Emily Meade', 'Miles Heizer', 'Kimiko Glenn', 'Samira Wiley', 'Colson Baker']",Michael Simmonds,"['Madeleine Gavin', 'Jeff McEvoy']",Rob Simonsen,"['Allison Shearmur Productions', 'Keep Your Head Productions', 'Supermarche']",Lionsgate,2016-07-12,96.0,English,19000000.0,85300000.0,United States,Jessica Sharzer
321,Mechanic: Resurrection,Dennis Gansel,"['John Thompson', 'Robert Earl', 'David Winkler', 'William Chartoff']","['Jason Statham', 'Jessica Alba', 'Tommy Lee Jones', 'Michelle Yeoh', 'Sam Hazeldine']",Daniel Gottschalk,"['Michael Duthie', 'Todd E. Miller', 'Ueli Christen']",Mark Isham,"['Millennium Films', 'Davis Films', 'Chartoff-Winkler Productions']","['Summit Premiere', '(United States; through', 'Lionsgate', ')', 'Metropolitan Filmexport', '(France)']",2016-08-22,98.0,English,40000000.0,125800000.0,United States,
322,The 9th Life of Louis Drax,Alexandre Aja,"['Alexandre Aja', 'Timothy Bricknell', 'Max Minghella', 'Shawn Williamson']","['Jamie Dornan', 'Sarah Gadon', 'Aaron Paul']",Maxime Alexandre,Baxter,Patrick Watson,"['Summit Premiere', 'Miramax', 'Blank Tape', 'Brightlight Pictures', 'Fire Axe Pictures']","['Lionsgate (United States)', 'Soda Pictures (United Kingdom)']",2016-09-02,108.0,English,,509725.0,,
323,Blair Witch,Adam Wingard,"['Roy Lee', 'Steven Schneider', 'Keith Calder', 'Jess Calder']","['James Allen McCune', 'Callie Hernandez', 'Brandon Scott', 'Corbin Reid', 'Valorie Curry', 'Wes Robinson']",Robby Baumgartner,Louis Cioffi,Adam Wingard,"['Lionsgate', 'Vertigo Entertainment', 'Room 101', 'Snoot Entertainment']",Lionsgate,2016-07-22,89.0,English,5000000.0,45200000.0,,Simon Barrett
324,Operation Avalanche,Matt Johnson,"['Matthew Miller', 'Lee Kim', 'Matt Johnson']","['Matt Johnson', 'Owen Williams', 'Andy Appelle']","['Andy Appelle', 'Jared Raab']",Curt Lobb,Jay McCarrol,"['Vice Films', 'Zapruder Films', 'Resolute Films']",Lionsgate Premiere,2016-01-22,94.0,English,,,,"['Matt Johnson', 'Josh Boles']"
325,Deepwater Horizon,Peter Berg,"['Lorenzo di Bonaventura', 'Mark Vahradian', 'Mark Wahlberg', 'Stephen Levinson', 'David Womark']","['Mark Wahlberg', 'Kurt Russell', 'John Malkovich', 'Gina Rodriguez', ""Dylan O'Brien"", 'Kate Hudson']",Enrique Chediak,"['Colby Parker Jr.', 'Gabriel Fleming']",Steve Jablonsky,"['Summit Entertainment', 'Participant Media', 'Di Bonaventura Pictures', 'Closest to the Hole Productions', 'Leverage Entertainment']",Lionsgate,2016-09-13,107.0,English,,121800000.0,United States,
326,Middle School: The Worst Years of My Life,Steve Carr,"['Leopoldo Gout', 'Bill Robinson', 'Marty Eli Shwartz', 'Heidi Santelli']","['Griffin Gluck', 'Lauren Graham', 'Rob Riggle', 'Thomas Barbusca', 'Isabela Moner', 'Andy Daly', 'Adam Pally', 'Retta']",Julio Macat,"['Wendy Greene Bricmont', 'Craig Herring']",Jeff Cardoni,"['Lionsgate', 'CBS Films', 'James Patterson Entertainment', 'Participant Media']",Lionsgate,2016-10-07,92.0,English,8500000.0,23000000.0,United States,
327,La Leyenda del Chupacabras,Alberto Rodríguez,"['Fernando de Fuentes', 'José C. García de Letona']","['Benny Emmanuel', 'Mayte Cordeiro', 'Eduardo ""Lalo"" España', 'Laura G', 'Herman López', 'Emilio Treviño', 'Oscar Flores', 'Andrés Couturier', 'Carlo Vázquez', 'Mario Arvizu']",,Alberto Rodríguez,Leoncio Lara,,Videocine,2016-10-21,82.0,Spanish,1600000.0,,Mexico,"['Acán Cohen', 'Alberto Rodriguez']"
328,Boo! A Madea Halloween,Tyler Perry,"['Tyler Perry', 'Ozzie Areu', 'Will Areu']","['Tyler Perry', 'Cassi Davis', 'Patrice Lovely', 'Yousef Erakat', 'Lexy Panterra', 'Andre Hall', 'Liza Koshy', 'Diamond White', ""Brock O'Hurn"", 'Bella Thorne']",Richard Vialet,Larry Sexton,Elvin Ross,,Lionsgate,2016-10-21,103.0,English,20000000.0,74800000.0,United States,Tyler Perry
329,American Pastoral,Ewan McGregor,"['Tom Rosenberg', 'Gary Lucchesi', 'Andre Lamal']","['Ewan McGregor', 'Jennifer Connelly', 'Dakota Fanning', 'Peter Riegert', 'Rupert Evans', 'Uzo Aduba', 'Molly Parker', 'David Strathairn']",Martin Ruhe,Melissa Kent,Alexandre Desplat,"['Lakeshore Entertainment', 'Lionsgate']",Lionsgate,2016-09-09,108.0,English,10000000.0,1700000.0,United States,
330,Hacksaw Ridge,Mel Gibson,"['Bill Mechanic', 'David Permut', 'Terry Benedict', 'Paul Currie', 'Bruce Davey', 'Brian Oliver', 'William D. Johnson']","['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer', 'Hugo Weaving', 'Rachel Griffiths', 'Vince Vaughn']",Simon Duggan,John Gilbert,Rupert Gregson-Williams,"['Summit Entertainment', 'Cross Creek Pictures', 'Demarest Media', 'Argent Pictures', 'IM Global', 'AI Film', 'Vendian Entertainment', 'Kylin Pictures', 'Pandemonium Films', 'Permut Presentations Production']","['Lionsgate (United States and United Kingdom)', 'Icon Film Distribution (Australia and New Zealand)', 'IM Global (International)']",2016-09-04,139.0,English,40000000.0,180500000.0,,
