,Title,Directed by,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release date,Running time,Language,Budget,Box office,Country,Written by
244,You're Next,Adam Wingard,"['Keith Calder', 'Jessica Wu', 'Simon Barrett', 'Kim Sherman']","['Sharni Vinson', 'Nicholas Tucci', 'Wendy Glenn', 'A. J. Bowen', 'Joe Swanberg', 'Barbara Crampton', 'Rob Moran']",Andrew Droz Palermo,Adam Wingard,"['Jasper Justice Lee', 'Kyle McKinnon', 'Mads Heldtberg', 'Adam Wingard']","['HanWay Films', 'Snoot Entertainment']",Lionsgate,2011-09-10,94.0,English,1000000.0,26900000.0,United States,Simon Barrett
245,Ender's Game,Gavin Hood,"['Gigi Pritzker', 'Linda McDonough', 'Alex Kurtzman', 'Roberto Orci', 'Robert Chartoff', 'Lynn Hendee', 'Orson Scott Card', 'Ed Ulbrich']","['Asa Butterfield', 'Harrison Ford', 'Ben Kingsley', 'Viola Davis', 'Hailee Steinfeld', 'Abigail Breslin']",Donald McAlpine,"['Zach Staenberg', 'Lee Smith']",Steve Jablonsky,"['Summit Entertainment', 'OddLot Entertainment', 'Chartoff Productions', 'Taleswapper', 'K/O Paper Products', 'Digital Domain', 'Sierra/Affinity']",Lionsgate,2013-10-24,114.0,English,110000000.0,125500000.0,United States,
246,The Hunger Games: Catching Fire,Francis Lawrence,"['Nina Jacobson', 'Jon Kilik']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Lenny Kravitz', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Stanley Tucci', 'Donald Sutherland']",Jo Willems,Alan Edward Bell,James Newton Howard,"['Lionsgate', 'Color Force']",Lionsgate,2013-11-11,146.0,English,130000000.0,865000000.0,United States,
247,A Madea Christmas,Tyler Perry,"['Tyler Perry', 'Ozzie Areu', 'Matt Moore']","['Tyler Perry', 'Kathy Najimy', 'Chad Michael Murray', 'Anna Maria Horsford', 'Tika Sumpter', 'Eric Lively', 'JR Lemon', 'Alicia Witt', 'Lisa Whelchel', 'Larry the Cable Guy']",Alexander Gruszynski,Maysie Hoy,Christopher Young,,Lionsgate,2013-12-13,100.0,English,25000000.0,53400000.0,United States,Tyler Perry
248,"I, Frankenstein",Stuart Beattie,"['Tom Rosenberg', 'Gary Lucchesi', 'Richard Wright', 'Andrew Mason', 'Sidney Kimmel']","['Aaron Eckhart', 'Bill Nighy', 'Yvonne Strahovski', 'Miranda Otto', 'Socratis Otto', 'Jai Courtney', 'Kevin Grevioux']",Ross Emery,Marcus D'Arcy,"['Johnny Klimek', 'Reinhold Heil']","['Lakeshore Entertainment', 'SKE Films', 'Hopscotch Features']",Lionsgate,2014-01-24,92.0,English,65000000.0,76800000.0,United States,
249,Reasonable Doubt,Peter Howitt (as Peter P. Croudins),"['Frank Buchs', 'Fredrik Malmberg', 'Silvio Muraglia', 'David Valleau', 'Daniel Wagner']","['Dominic Cooper', 'Samuel L. Jackson']",Brian Pearson,Richard Schwadel,James Jandrisch,"['Bavariapool', 'Eagle Vision', 'Paradox Entertainment', 'South Creek Pictures', 'Voltage Pictures', 'Summit Entertainment']","['Entertainment One Films (Canada)', 'Koch Films (Germany)']",2014-01-17,91.0,English,8000000.0,,,Peter A. Dowling
250,Nurse 3D,Doug Aarniokoski,Marc Bienstock,"['Paz de la Huerta', 'Katrina Bowden', 'Corbin Bleu']",Boris Mojsovski,Andrew Coutts,Anton Sanko,,Lionsgate,2013-09-28,84.0,English,10000000.0,80231.0,United States,['David Loughery']
251,Date and Switch,Chris Nelson,"['Jai Stefan', 'Laurence Mark', 'David Blackman']","['Nicholas Braun', 'Hunter Cope', 'Dakota Johnson', 'Zach Cregger']",David Robert Jones,"['Tia Nolan', 'Akiko Iwakawa-Grieve']",Eric D. Johnson,,Lionsgate,2014-02-14,91.0,English,6000000.0,,United States,Alan Yang
252,Pompeii,Paul W. S. Anderson,"['Jeremy Bolt', 'Paul W. S. Anderson', 'Robert Kulzer', 'Don Carmody']","['Kit Harington', 'Carrie-Anne Moss', 'Emily Browning', 'Adewale Akinnuoye-Agbaje', 'Jessica Lucas', 'Jared Harris', 'Kiefer Sutherland']",Glen MacPherson,Michelle Conroy,Clinton Shorter,"['Constantin Film', 'Impact Pictures']","['Sony Pictures Releasing (via TriStar Pictures ) and FilmDistrict (United States)', 'Constantin Film (Germany)', 'Lionsgate (International; via Summit Entertainment )']",2014-02-18,105.0,English,80000000.0,117800000.0,,"['Janet Scott Batchler', 'Lee Batchler', 'Michael Robert Johnson']"
253,Repentance,Philippe Caland,"['Philippe Caland', 'Nina Yang Bongiovi', 'Forest Whitaker']","['Forest Whitaker', 'Anthony Mackie', 'Mike Epps', 'Nicole Ari Parker', 'Sanaa Lathan']",Denis Maloney,"['Rick Shaine', 'Lee Haugen']",Mark Kilian,"['Codeblack Films', 'JuntoBox Films']",Lionsgate,2013-01-20,95.0,English,,1189612.0,United States,
